business_name,website_url,country,category,description,source_query
"The Cheapest South African Shop In Australia","https://inside-africa.com.au/","Australia","Food & Grocery","Your one Stop Online South African Shop","""South African"" shop OR store Australia"
"The South African Shop","https://the-south-african-shop-2.wheree.com/","Australia","Food & Grocery","Closed 10:00 AM - 04:00 PM See Hours Unit 8/112 James St, Templestowe VIC 3106, Australia +61 3984-683-22 Suggest an edit · <strong>The South African Shop</strong> stands out as a vibrant hub for enth","""South African"" shop OR store Australia"
"Home","https://newcastlebiltongco.com.au/","Australia","Food & Grocery","<strong>Newcastle Biltong Co.</strong> has your favourite South African groceries, biltong and beverages available right here in Newcastle, NSW. shop Now frieza products sunday Limited Offer Make a pu","""South African"" shop OR store Australia"
"Biltong & Boerewors","https://biltong-boerewors.wheree.com/","Australia","Food & Grocery","Closed 08:30 AM - 03:00 PM See Hours The Terrace, 5/40 Panmure St, Rouse Hill NSW 2155, Australia Suggest an edit · Biltong &amp; Boerewors is <strong>a beloved grocery store located in Rouse Hill, NS","biltong boerewors Australia"
"Biltong Spice","https://biltongspice.com.au/","Australia","Food & Grocery","Biltong spice online store in Australia. We stock a wide range of South African biltong, boerewors and droewors spices as well as biltong machines, cutters and more. We deliver anywhere in Australia a","biltong boerewors Australia"
"Biltongman","https://www.biltongman.com.au/about-us","Australia","Gifts & Hampers","Along with selling great quality locally sourced produce, we started making biltong and commenced introducing this (traditional South African!) delicacy to the Australian market. Our second shop, Afri","biltong boerewors Australia"
"Boerewors – Mufasa Biltong","https://mufasabiltong.com.au/offline-products/boerewors/","Australia","Food & Grocery","Boerewors · Check your nearest stores · $22.75 · Boerewors – Bushveld Flavour / 1Kg · $22.99 · Boerewors Cheese / 1Kg · $22.75 · Boerewors Chilli Flavour / 1Kg · $22.75 · Boerewors Garlic Flavour / 1K","biltong boerewors Australia"
"Bogan Biltong Beef Biltong, Boerewors, Droëwors, South African Items","https://www.aussieboganbiltong.com.au/","Australia","Food & Grocery","Traditional South African Biltong, Boerewors, Droëwors made in the NT. Also stocking a range of South African products at our SHOP","biltong boerewors Australia"
"ABOUT US — Protea Foods","https://www.proteafoods.com/about-us","Australia","Food & Grocery","For over 40 years, <strong>Protea Foods</strong> has been supplying South African expats and Australian converts with delicious biltong products. What started as humble beginnings in a small delicates","biltong boerewors Australia"
"South African Shop in Australia","https://www.satooz.com.au/","Australia","Food & Grocery","Buy your favorite South African food, seasonings, spices, and other products online at SATOOZ. We deliver right at your doorstep anywhere in Australia.","""South African food"" OR ""SA groceries"" Australia"
"South African Food and Beverages","https://africashop.com.au/","Australia","Food & Grocery","We are <strong>an Adelaide based online business specializing in your favourites from Southern Africa</strong>. Products include Biltong, Boerewors and Dry Wors and a wide range of grocery items. Chec","""South African food"" OR ""SA groceries"" Australia"
"Where to find South African food when living in Australia","https://www.finglobal.com/2018/11/30/south-african-food-in-australia/amp/","Australia","Food & Grocery","<strong>Protea Foods</strong> <strong>Protea Foods</strong> is based in Cheltenham, Melbourne Victoria and their primary foods are South African favourites – biltong and boerewors. All their products ","""South African food"" OR ""SA groceries"" Australia"
"South African Foods Perth – South African Essentials","https://www.southafricanessentials.com/","Australia","Food & Grocery","Perth&#x27;s home for authentic South African foods including milk tarts, koeksisters, biltong, boerewors, and more. Supporting local South African producers in Australia.","""South African food"" OR ""SA groceries"" Australia"
"South African shops in the UK, online South African products the UK, imported South African food in the UK, South African ingredients in the UK, South African shops in England, South African shops in Yorkshire,","https://saffashops.uk/south-african-shops-in-the-uk/","United Kingdom","Food & Grocery","Taste of South Africa ◊ tasteofsouthafrica.com facebook.com/tasteofsouthafrica info@tasteofsouthafrica.co.uk Changed hands after Farmoor Store closed (Cumnor Rd, Farmoor, Cumnor, Oxford) YeboBox Onlin","""South African"" shop OR store United Kingdom"
"SA Shop","https://www.sanza.co.uk/South_Africa_Shop.asp","United Kingdom","Food & Grocery","Our online South African Shop sells food and beverages from South Africa. Have your Bokke goodies delivered to your front door throughout the United Kingdom UK.","""South African"" shop OR store United Kingdom"
"Toft Shop","https://toftshop.co.uk/","United Kingdom","Food & Grocery","South African food online and in store near Cambridge Buy biltong, boerewors, droerwors online and many more South African favourites in our shop in Toft. Please note that goods, being imported, are s","""South African"" shop OR store United Kingdom"
"Quality Biltong & Boerewors UK","https://boerie.co/","United Kingdom","Food & Grocery","Experience the authentic taste of South African sausage with our premium Biltong and Boerewors in the UK. Buy Biltong near you for a savoury meat treat.","biltong boerewors United Kingdom"
"Limpopo Biltong","https://www.limpopobiltong.com/","United Kingdom","Food & Grocery","Great tasting biltong, drywors and boerewors made in the UK by South Africans.","biltong boerewors United Kingdom"
"Boerewors","https://lovebiltong.co.uk/boerewors/","United Kingdom","Restaurants & Takeaway","Boerewors, also known as “South African Sausage” or “Wors,” is what you will find at every braai in South Africa, Botswana, Namibia, Zimbabwe and Mozambique. It has now expanded and is cooked by the e","biltong boerewors United Kingdom"
"Biltong Manufacturers and Wholesalers using UK and Irish Beef","https://huntersbiltong.co.uk/biltong-manufacturer-uk/","United Kingdom","Food & Grocery","<strong>Hunters Biltong have been manufacturing Biltong and Boerewors in the United Kingdom (UK) since 2002</strong> from our specialised factory premises in Barking","biltong boerewors United Kingdom"
"Snoggys","https://www.snoggys.com/","United Kingdom","Food & Grocery","<strong>Snoggys have been making Biltong for over 20 years in SA and in the UK</strong>, our unique flavours and consistent quality have firmly established us as a favourite outlet to get authentic Bi","biltong boerewors United Kingdom"
"Safari Biltong UK","https://safaribiltong.co.uk/","United Kingdom","Travel & Tourism","<strong>Safari Biltong</strong> is an authentic South African style biltong retailer supplying artisan biltong, droewors, steaks and boerewors throughout the United Kingdom and Europe.","biltong boerewors United Kingdom"
"Biltong & Bangers","https://www.findafricanfoods.com/stores/gb/southampton/biltong-bangers","United Kingdom","Restaurants & Takeaway","161 High St Southampton, England, SO14 2BT United Kingdom · Biltong &amp; Bangers, located at <strong>161 High St, Southampton</strong>, offers a wide range of authentic South African foods. Establish","biltong boerewors United Kingdom"
"Our SA groceries will give you a taste of home only available here!","https://www.biltongstmarcus.co.uk/shop/category/sa-groceries/","United Kingdom","Restaurants & Takeaway","Delve into our range of sumptuous SA groceries and discover a taste of home at <strong>Biltong St Marcus</strong>. We stock an imported range of genuine South African groceries like sauces, marinades,","""South African food"" OR ""SA groceries"" United Kingdom"
"Saffashaq.com","https://saffashaq.com/","United Kingdom","Beauty & Health","Unit D6, Davidson Way, Romford, ESSEX, RM7 0AZ ·  · Saffa.shaq@gmail.com ·  · 078 501 91292 · Monday -CLOSED · Tuesday-10am -6pm · Wednesday - 10am - 6pm · Thursday - 10am-6pm · Friday - 10am - 5pm ","""South African food"" OR ""SA groceries"" United Kingdom"
"Beef Biltong","https://simplyafricanfood.uk/","United Kingdom","Restaurants & Takeaway","From the plains of South Africa to homes across the United Kingdom, Donald’s legacy lives on in every bite. <strong>Simply African</strong> opens our factory shopVisit Our Bordon Factory Shop.Grab all","""South African food"" OR ""SA groceries"" United Kingdom"
"The South African Food Shop – For biltong and droewors in the USA","https://southafricanfoodshop.com/","United States","Food & Grocery","South African Biltong, Droewors and ethnic foods available online in the USA. Shop for your favorite foods at the <strong>South African Food Shop</strong> where you will find Bledie Lekker brand Bilto","""South African"" shop OR store United States"
"Welcome to The South African Food Shop","https://www.southafricanfood.us/","United States","Food & Grocery","Welcome to the <strong>South African Food Shop</strong>, the home of &quot;Bledie lekker!&quot;® Biltong, Droewors and Boerewors, It&#x27;s the real deal! there is no comparison to &quot;Bledie lekker","""South African"" shop OR store United States"
"South African Food & Biltong in the USA","https://dutchys.com/","United States","Restaurants & Takeaway","Dutchy’s is the leading South African store in the USA offering authentic biltong, boerewors, droewors, groceries, desserts, and traditional meals. Visit our Florida locations or order nationwide ship","""South African"" shop OR store United States"
"South African Foods and WELKOM USA","https://welkomusa.com/blogs/freshpak-rooibos-iced-tea/south-african-foods-and-welkom-usa","United States","Food & Grocery","Finding authentic South African food in the United States used to be a challenge, but thanks to online retailers like <strong>WELKOM USA</strong>, it&#x27;s easier than ever to enjoy your favorite Sou","""South African"" shop OR store United States"
"** South African Foods Online Store ** :","https://eatsummore.com/","United States","Food & Grocery","Most of our products are available in our Online Store. We ship all of our Dry Goods to anywhere in North America. All our Meats are only shipped within Ontario, Canada. We do not ship any frozen prod","""South African"" shop OR store United States"
"AA Biltong","http://www.aabiltong.com/","United States","Food & Grocery","biltong, droewors and boerewors producers and distributors in the usa","biltong boerewors United States"
"Biltong US for South African Biltong and Droewors in the USA","https://www.biltongus.com/","United States","Food & Grocery","Biltong US for Bledie Lekker Biltong, Droewors and Boerewors in the USA","biltong boerewors United States"
"New York Biltong","https://newyorkbiltong.com/collections/biltong-boerewors-droewors","United States","Food & Grocery","Our biltong and sausages are <strong>made in the U.S. using traditional South African techniques and high quality, grass-fed meat</strong>. All meat is vacuum sealed to guarantee freshness, and bilton","biltong boerewors United States"
"South African Store","https://southafricanstore.ca/","Canada","Food & Grocery","Discover authentic South African flavours at <strong>South African Store, located in Toronto</strong>. We bring you a broad selection of iconic snacks, pantry staples, beverages, and household essenti","""South African"" shop OR store Canada"
"Hyperama","https://hyperama.ca/","Canada","Food & Grocery","Discover <strong>Hyperama</strong>, the premier South African Shop in Canada, now online! Offering a wide selection of hypermarket retail products, including high-quality Lekker meats and traditional ","""South African"" shop OR store Canada"
"SA Goodies","https://howzitcanada.ca/sa-goodies/","Canada","Food & Grocery","Founded by Callie, who moved to Canada in 2021, the shop was born out of a desire to provide beloved South African products at affordable prices. With connections to wholesalers and discounted shippin","""South African"" shop OR store Canada"
"Where to get South African Foods and Goods in Vancouver","https://southafricansinvancouver.ca/where-to-get-south-african-foods-and-goods-in-vancouver/","Canada","Food & Grocery","It’s located at <strong>3654 West 4th Ave in Vancouver</strong>, and operates seven days a week with normal hours from 11 am to 4 pm. For more information, you can visit their website Read More » · Wi","""South African"" shop OR store Canada"
"South African food in Vancouver","https://africanbreese.com/","Canada","Food & Grocery","Inspired by a 2005 trip to South Africa, Marinda envisioned bringing Africa to Canada, leading to the opening of <strong>African Breese Imports</strong> in North Vancouver in 2007 after buying a local","""South African"" shop OR store Canada"
"Buy South African goods abroad","https://www.southafrica.info/abroad/buysa.htm","Canada","Food & Grocery","<strong>Florence Meat Supplies</strong> includes South African specialties, such as biltong and boerewors, and other typically South African favourites, like koeksisters, melkterts and samoosas. Memor","""South African food"" OR ""SA groceries"" Canada"
"The South African Shop","https://sashopnz.co.nz/","New Zealand","Food & Grocery","<strong>The South African Shop based in Auckland, New Zealand</strong> a specialty grocery and retail business providing a &quot;link to home&quot; for new immigrants - an information Centre and meeti","""South African"" shop OR store New Zealand"
"Biltong South African Shop Auckland","https://biltongplus.co.nz/","New Zealand","Food & Grocery","<strong>Biltong Plus</strong> is the #1 retailer for South African products including biltong dried meat based in Auckland New Zealand. Browse the products we have available.","""South African"" shop OR store New Zealand"
"Biltong, Boerewors and Groceries","https://southafricanshop.net.nz/","New Zealand","Food & Grocery","Discover authentic South African groceries &amp; treats in <strong>East Auckland</strong>, NZ. Your local source for all your favourite biltong, boerewors, and more. Shop online now!","""South African"" shop OR store New Zealand"
"Moederland","https://moederland.co.nz/","New Zealand","Food & Grocery","Discover <strong>Moederland</strong>, New Zealand&#x27;s premier South African online shop. Shop authentic South African snacks, pantry staples, and unique homeware. Bringing the heart of South Africa","""South African"" shop OR store New Zealand"
"New Zealand's one stop shop for all things South African","https://insideafrica.nz/","New Zealand","Food & Grocery","Bringing South Africa to New Zealand. New Zealand&#x27;s 1 stop shop for all things South African","""South African"" shop OR store New Zealand"
"South African Shop NZ","https://atfoodculture.co.nz/","New Zealand","Food & Grocery","We pride ourselves on having a dedicated team and we are food aficionados trying to deliver as the richest culinary heritage of South Africa. Anytime you are looking for <strong>South African Store Ne","""South African"" shop OR store New Zealand"
"Biltong & Wors Shop","https://worsshop.co.nz/","New Zealand","Food & Grocery","Trusted for over 12 years by South Africans all over New Zealand. Top quality meat right to your doorstep. ... “This place has the best boerewors (spiced ground meat sausage) outside of South Africa.","biltong boerewors New Zealand"
"Products – Tagged ""Biltong"" – Boerewors NZ","https://www.boerewors.nz/collections/all/biltong","New Zealand","Food & Grocery","Boerewors, Biltong and Drywors at its best in New Zealand! The taste of South Africa on your fingertips! Shipping to North Island. www.boerewors.nz","biltong boerewors New Zealand"
"Sahara Biltong & Braai","https://saharabiltong.co.nz/","New Zealand","Restaurants & Takeaway","<strong>Sahara Biltong &amp; Braai</strong> brings authentic South African biltong, droëwors, boerewors, and braai snacks to New Zealand. Made with premium NZ beef and traditional recipes to tickle yo","biltong boerewors New Zealand"
"Boerewors","https://safaribiltong.co.nz/product/boerewors/","New Zealand","Travel & Tourism","800grams Boerewors · $22.32 — available on subscription · Description · <strong>Beef, Pork, Pork Fat, Salt, Spices, Worcester Sauce, White Vinegar, Sugar, Casings</strong>. Keep refrigerated below &lt","biltong boerewors New Zealand"
"Southland Biltong","https://southlandbiltong.co.nz/","New Zealand","Food & Grocery","Traditional Biltong · Chilli Beef Sticks · Boerewors · What Our Clients Say · Tasty and a great on the go snack. Great quality and price, good selection and first class service all the time. Jess Smit","biltong boerewors New Zealand"
"SA Wholesale","https://www.sawholesale.co.nz/","New Zealand","Food & Grocery","SA Wholesale - We are importers and wholesalers of South African groceries and liquor. We stock the most comprehensive range of South African food, beverages, and liquor in New Zealand.","""South African food"" OR ""SA groceries"" New Zealand"
"Safari Treats","https://www.toptastes.co.nz/safari-treats/","New Zealand","Travel & Tourism","Biltong is a traditional South ... biltong at home for sale on-line has been making it for a wee while now, but the new <strong>Safari Treats</strong> store in town stocks more than just biltong....","""South African food"" OR ""SA groceries"" New Zealand"
"South African Online Food Store","https://www.saffatrading.co.za/","New Zealand","Food & Grocery","With over a thousand top selling SA products in our catalogue we have all your favourite Saffa products on one website. We are <strong>a South African based company that specialise in exporting authen","""South African food"" OR ""SA groceries"" New Zealand"
"South African Accessories – Nederkaans","https://www.nederkaans.nl/","Netherlands","Food & Grocery","Shop · <strong>Hermelijnakker, Houten, The Netherlands</strong> · Office hours: Monday - Friday 08h00-17h00 · Always available via whatsapp chat (Right corner of screen) for any questions. from 128 re","""South African"" shop OR store Netherlands"
"Die Spens: Your South African Store in the Netherlands!","https://zuidafrika.nl/die-spens-your-south-african-store-in-the-netherlands/","Netherlands","Clothing & Fashion","Address: Ariane 38 3824 MB Amersfoort, The Netherlands www.diespens.nl Contact Details: Shop: +31 (0)6 17 69 60 82 Webshop: +31 (0)33 743 0698 Email: info@diespens.nl Wholesale: warehouse@diespens.nl","""South African"" shop OR store Netherlands"
"Boerewors.nl","https://www.boerewors.nl/boerewors/boerie.nsf/start!open&l=en&id=home","Netherlands","Food & Grocery","Bestel hier je favoriete boerewors, biltong en droëwors. Lekker, puur en ambachtelijk gemaakt in Nederland.","biltong boerewors Netherlands"
"Hier (in Nederland) kun je terecht voor de lekkerste Zuid","https://kaapstadmagazine.nl/zuidafrikaanse-producten","Netherlands","Restaurants & Takeaway","Laat dat nou net zijn wat Andre Koning, eigenaar van Boerewors.nl (ook KoningsKos genoemd), al sinds zijn jeugd perfect kan bereiden. Als jongen had hij in het dorp vlakbij Pretoria waar hij opgroeide","biltong boerewors Netherlands"
"biltong & boerewors","https://www.mijnafrika.nl/biltong-boerewors/","Netherlands","Restaurants & Takeaway","Organiseer jij een echte Afrikaanse Braai in Nederland, of kun je gewoon niet meer zonder de biltong, kijk dan op Boerewors.nl naar alle producten die André de Koning maakt.","biltong boerewors Netherlands"
